Bulbasaur: フシギダネ (fushigidane)§
ヤクデ (yakude): Sizzlipede§
マルヤクデ (maruyakude): Centiskorch§
タタッコ (tatakko): Clobbopus§
オトスパス (otosupasu): Grapploct§
ヤバチャ (yabacha): Sinistea§
ポットデス (pottodesu): Polteageist§
ミブリム (miburimu): Hatenna§
テブリム (teburimu): Hattrem§
ブリムオン (burimuon): Hatterene§
ベロバー (beroba-): Impidimp§
ギモー (gimo-): Morgrem§
オーロンゲ (o-ronge): Grimmsnarl§
タチフサグマ (tachifusaguma): Obstagoon§
ニャイキング (nyaikingu): Perrserker§
サニゴーン (sanigo-n): Cursola§
ネギガナイト (negiganaito): Sirfetchd§
バリコオル (barikooru): Mr. Rime§
デスバーン (desuba-n): Runerigus§
マホミル (mahomiru): Milcery§
マホイップ (mahoippu): Alcremie§
タイレーツ (taire-tsu): Falinks§
バチンウニ (bachin uni): Pinchurchin§
ユキハミ (yukihami): Snom§
モスノウ (mosunou): Frosmoth§
イシヘンジン (ishihenjin): Stonjourner§
コオリッポ (koorippo): Eiscue§
イエッサン (iessan): Indeedee§
モモルペコ (momorupeko): Morpeko§
ゾウドウ (zoudou): Cufant§
ダイオウドウ (daioudou): Copperajah§
パッチラゴン (patchiragon): Dracozolt§
パッチルドン (patchirudon): Arctozolt§
ウオノラゴン (uonoragon): Dracovish§
ウオノルドン (uonorudon): Arctovish§
ジュラルドン (jurarudon): Duraludon§
ドラメシヤ (dorameshiya): Dreepy§
ドロンチ (doronchi): Drakloak§
ドラパルト (doraparuto): Dragapult§
ザシアン (zashian): Zacian§
ザマゼンタ (zamazenta): Zamazanta§
ムゲンダイナ (mugendaina): Eternatus§
ダクマ (dakuma): Kubfu§
ウーラオス (u-raosu): Urshifu§
ザルード (zaru-do): Zarude§
レジイレキ (rejiireki): Regieleki§
レジドラゴ (rejidorago): Regidrago§
ブラザポス (burazaposu): Glastrier§
ライスポス (raisuposu): Spectrier§
バドレックス (badorekkusu): Calyrex§
アヤシシ (ayashishi): Wyrdeer§
バサギリ (basagiri): Kleavor§
ガチグマ (gachiguma): Ursaluna§
イヤイトウ (iyaitou): Basculegion§
オオニューラ (oonyu-ra): Sneasler§
ハリーマン (hari-man): Overqwil§
ラブトロス (rabutorosu): Enamorus§
ニャオハ (nyaoha): Sprigatito§
ニャローテ (nyaro-te): Floragato§
マスカーニャ (masuka-nya): Meowscarda§
ホゲータ (hoge-ta): Fuecoco§
アチゲータ (achige-ta): Crocalor§
ラウドボーン (raudobo-n): Skeledirge§
クワッス (kuwassu): Quaxly§
ウェルカモ (wherukamo): Quaxwell§
ウェーニバル (whe-nibaru): Quaquavel§
グルトン (guruton): Lechonk§
パフュートン (pafyu-ton): Oinkologne§
タマンチュラ (tamanchura): Tarountula§
ワナイダー (wanaida-): Spidops§
マメバッタ (mamebatta): Nymble§
エクスレッグ (ekusureggu): Lokix§
パモ (pamo): Pawmi§
パモット (pamotto): Pawmo§
パーモット (pa-motto): Pawmot§
ワッカネズミ (wakkanezumi): Tandemaus§
イッカネズミ (ikkanezumi): Maushold§
パピモッチ (papimotchi): Fidough§
バウッツエル (bauttsueru): Dachsbun§
ミニーブ (mini-bu): Smoliv§
オリーニョ (ori-nyo): Dolliv§
オリーヴァ (ori-va): Arboliva§
イキリンコ (ikirinko): Squawkabilly§
コジオ (kojio): Nacli§
ジオヅム (jiozumu): Naclstack§
キョジオーン (kyojio-n): Garganacl§
カルボウ (karubou): Charcadet§
グレンアルマ (guren aruma): Armarouge§
ソウブレイズ (soubureizu): Ceruledge§
ズピカ (zupika): Tadbulb§
ハラバリー (harabari-): Bellibolt§
カイデン (kaiden): Wattrel§
タイカイデン (taikaiden): Kilowattrel§
オラチフ (orachifu): Maschiff§
マフィティフ (mafyithifu): Mabosstiff§
シルシュルー (shirushuru-): Shroodle§
タギングル (taginguru): Grafaiai§
アノクサ (anokusa): Bramblin§
アノホラグサ (anohoragusa): Brambleghast§
ノノクラゲ (nonokurage): Toedscool§
リククラゲ (rikukurage): Toadscruel§
ガケガニ (gakegani): Klawf§
カプサイジ (kapusaiji): Capsakid§
スコヴィラン (sukoxiran): Scovillain§
シガロコ (shigaroko): Rellor§
ベラカス (berakasu): Rabsca§
ヒラヒナ (hirahina): Flittle§
クエスパトラ (kuesupatora): Espathra§
カヌチャン (kanuchan): Tinkatink§
ナカヌチャン (nakanuchan): Tinkatuff§
デカヌチャン (dekanuchan): Tinkaton§
ウミヂィグダ (umidyiguda): Wiglett§
ウミトリオ (umitorio): Wugtrio§
オトシドリ (otoshidori): Bombirdier§
ナミイルカ (namiiruka): Finizen§
イルカマン (irukaman): Palafin§
ブロロン (buroron): Varoom§
ブロロローム (burororo-mu): Revavroom§
モトトカゲ (mototokage): Cyclizar§
ミミズズ (mimizuzu): Orthworm§
キラーメ (kira-me): Glimmet§
キラフロル (kirafuroru): Glimmora§
ボチ (bochi): Greavard§
ハカドッグ (hakadoggu): Houndstone§
カラミンゴ (karamingo): Flamigo§
アルクジラ (arukujira): Cetoddle§
ハルクジラ (harukujira): Cetitan§
ミミガルーサ (mimigaru-sa): Veluza§
ヘイラッシャ (heirassha): Dondozo§
シャリタツ (sharitatsu): Tatsugiri§
コノヨザル (konoyozaru): Annihilape§
ドオー (doo-): Clodsire§
リキキリン (rikikirin): Farigiraf§
ノココッチ (nokokotchi): Dudunsparce§
ドドゲザン (dodogezan): Kingambit§
イダイナキバ (idainakiba): Great Tusk§
サケブシッポ (sakebushippo): Scream Tail§
アラブルタケ (araburutake): Brute Bonnet§
ハバタクカミ (habatakukami): Flutter Mane§
チヲハウハネ (chiwohauhane): Slither Wing§
スナノケガワ (sunanokegawa): Sandy Shocks§
テツノワダチ (tetsunowadachi): Iron Treads§
テツノツツミ (tetsunotsutsumi): Iron Bundle§
テツノカイナ (tetsunokaina): Iron Hands§
テツノコウベ (tetsunokoube): Iron Jugulis§
テツノドクガ (tetsunodokuga): Iron Moth§
テツノイバラ (tetsunoibara): Iron Thorns§
セビエ (sebie): Frigibax§
セゴール (sego-ru): Arctibax§
セグレイブ (segureibu): Baxcalibur§
コレクレー (korekure-): Gimmighoul§
サーフゴー (sa-fugo-): Gholdengo§
チオンジェン (chionjyen): Wo-Chien§
パオジアン (paojian): Chien-Pao§
ディンルー (dhinru-): Ting-Lu§
イーユイ (i-yui): Chi-Yu§
トドロクツキ (todorokutsuki): Roaring Moon§
テツノブジン (tetsunobujin): Iron Valiant§
コライドン (koraidon): Koraidon§
ミライドン (miraidon): Miraidon§
ウネルミナモ (uneruminamo): Walking Wake§
テツノイサハ (tetsunoisaha): Iron Leaves§
